,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments,,,,,,,,,,,,,
28781,52,13,new,w_1,287,1108,1116,18M 28S,18M 36S,wood,spoon,,,,,,,,,,,,,
32681,53,13,new,w_u,326,1190,1192,19M 50S,19M 52S,wood,spoon,,,,,,,,,,,,,
43741,54,13,new,partner,437,1656,1658,27M 36S,27M 38S,wood,spoon,,,,,,,,,,,,,
7471,55,13,new,w_2,747,2770,2780,46M 10S,46M 20S,wood,spoon,,,,,,,,,,,,,
115121,56,14,new,1,115,672,722,11M 12S,12M 2S,wood,spoon,,,,,,,,,,,,,
165131,58,15,new,w_1,165,1002,1020,16M 42S,17M 0S,wood,spoon,,,,,,,,,,,,,
96151,59,17,new,0,391,4446,4496,1H 14M 6S,1H 14M 56S,wood,,,,,,,,,,,,,,
37214,60,18,new,w_1,372,1888,2050,31M 28S,34M 10S,wood,,,,,,,,,,,,,,
14817,61,19,new,0,148,1232,1284,20M 32S,21M 24S,plastic,,,,,,,,,,,,,,
16918,62,20,new,w_2,142,4220,4230,1H 10M 20S,1H 10M 30S,wood,,,,,,,,,,,,,,
