,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type,comments
4280,42,1,new,1,42,276,280,4M 36S,4M 40S,medium,
7333,43,1,new,2,73,416,432,6M 56S,7M 12S,medium,
10519,44,1,new,3,105,630,660,10M 30S,11M 0S,medium,
37911,46,2,new,0,31,294,302,4M 54S,5M 2S,medium,
11541,47,5,new,0,89,2392,2402,39M 52S,40M 2S,medium,
27731,49,6,new,tea,256,3844,3936,1H 4M 4S,1H 5M 36S,medium,
27181,50,7,new,1,27,312,412,5M 12S,6M 52S,medium,
61151,51,7,new,2,61,1574,1588,26M 14S,26M 28S,medium,
15261,52,8,new,1,1,2,28,2S,28S,medium,
15661,53,8,new,2,110,1022,1030,17M 2S,17M 10S,medium,
40511,57,9,new,1,90,652,664,10M 52S,11M 4S,medium,
41081,58,9,new,0,329,1904,1972,31M 44S,32M 52S,medium,
41181,59,9,new,2,431,2750,2754,45M 50S,45M 54S,medium,
41216,60,9,new,tea,449,2976,3000,49M 36S,50M 0S,medium,
41314,61,9,new,3,473,3792,3848,1H 3M 12S,1H 4M 8S,medium,
10781,62,10,new,1,107,1196,1200,19M 56S,20M 0S,medium,
39621,63,10,new,2,396,3764,3780,1H 2M 44S,1H 3M 0S,medium,
51521,64,11,new,0,161,1852,1876,30M 52S,31M 16S,medium,
69211,66,13,new,1,69,304,322,5M 4S,5M 22S,medium,
142131,67,13,new,3,142,666,680,11M 6S,11M 20S,medium,
201141,68,13,new,2,201,826,838,13M 46S,13M 58S,medium,
31581,69,13,new,0,315,1166,1190,19M 26S,19M 50S,medium,
13601,71,14,new,1,13,76,78,1M 16S,1M 18S,medium,
186121,72,14,new,2,186,1300,1318,21M 40S,21M 58S,medium,
21701,73,15,new,1,21,146,174,2M 26S,2M 54S,medium,
104131,74,15,new,small,104,660,662,11M 0S,11M 2S,medium,
441141,75,17,new,1,105,1868,1904,31M 8S,31M 44S,medium,
45551,76,17,new,2,364,4254,4380,1H 10M 54S,1H 13M 0S,medium,
60281,77,18,new,0,60,420,424,7M 0S,7M 4S,medium,
189151,78,18,new,1,189,1118,1144,18M 38S,19M 4S,medium,
46761,79,18,new,2,467,2350,2366,39M 10S,39M 26S,medium,
6162,80,18,new,partner,616,3200,3208,53M 20S,53M 28S,medium,
7482,81,18,new,3,748,4322,4340,1H 12M 2S,1H 12M 20S,medium,
7782,82,18,new,4,778,4574,4590,1H 16M 14S,1H 16M 30S,medium,
3950,83,19,new,kid,39,352,360,5M 52S,6M 0S,medium,
98171,84,19,new,1,98,766,820,12M 46S,13M 40S,medium,
35812,86,19,new,large_2,358,3048,3056,50M 48S,50M 56S,medium,
131221,87,20,new,2,59,3754,3760,1H 2M 34S,1H 2M 40S,medium,
132201,88,20,new,kid,173,4512,4528,1H 15M 12S,1H 15M 28S,medium,
1863,8,6,reg,0,74,1060,1074,17M 40S,17M 54S,small,
826,10,7,reg,small,82,1008,1010,16M 48S,16M 50S,small,
161101,54,8,new,small_2,151,1498,1514,24M 58S,25M 14S,small,
16271,55,8,new,small_3,152,1498,1520,24M 58S,25M 20S,small,
16061,56,8,new,small_1,174,1750,1762,29M 10S,29M 22S,small,
6041,70,13,new,small,604,2292,2314,38M 12S,38M 34S,small,
