,participant,session,order,start,end,start_hms,end_hms,place,activity
180,18,new,590,3002,3006,50M 2S,50M 6S,,
181,18,new,591,3006,3034,50M 6S,50M 34S,,
182,18,new,603,3094,3146,51M 34S,52M 26S,,
183,18,new,631,3330,3414,55M 30S,56M 54S,,
184,18,new,656,3696,3714,1H 1M 36S,1H 1M 54S,,
185,18,new,669,3826,3862,1H 3M 46S,1H 4M 22S,,
186,18,new,692,3964,3982,1H 6M 4S,1H 6M 22S,,
187,18,new,713,4102,4160,1H 8M 22S,1H 9M 20S,,
188,18,new,726,4214,4220,1H 10M 14S,1H 10M 20S,,
189,18,new,731,4248,4264,1H 10M 48S,1H 11M 4S,,
190,18,new,755,4388,4476,1H 13M 8S,1H 14M 36S,,
191,18,new,769,4510,4522,1H 15M 10S,1H 15M 22S,,
192,18,new,772,4522,4572,1H 15M 22S,1H 16M 12S,,
193,18,new,813,4768,4778,1H 19M 28S,1H 19M 38S,,
