,participant,session,order,start,end,start_hms,end_hms,place,activity,,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
114,20,new,164,4472,4474,1H 14M 32S,1H 14M 34S,stove,,,,,,,,,,,,
115,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
116,2,reg,75,1254,1260,20M 54S,21M 0S,,,,,,,,,,,,,
117,2,reg,106,1680,1694,28M 0S,28M 14S,,,,,,,,,,,,,
118,2,reg,109,1700,1720,28M 20S,28M 40S,,,,,,,,,,,,,
119,2,reg,133,2076,2080,34M 36S,34M 40S,,,,,,,,,,,,,
120,2,reg,138,2108,2116,35M 8S,35M 16S,,,,,,,,,,,,,
121,2,reg,141,2116,2126,35M 16S,35M 26S,,,,,,,,,,,,,
122,2,reg,145,2144,2152,35M 44S,35M 52S,,,,,,,,,,,,,
123,2,reg,148,2170,2204,36M 10S,36M 44S,,,,,,,,,,,,,
124,2,reg,154,2230,2236,37M 10S,37M 16S,,,,,,,,,,,,,
125,2,reg,160,2268,2274,37M 48S,37M 54S,,,,,,,,,,,,,
126,2,reg,163,2292,2306,38M 12S,38M 26S,,,,,,,,,,,,,
127,2,reg,184,2474,2506,41M 14S,41M 46S,,,,,,,,,,,,,
128,2,reg,190,2516,2542,41M 56S,42M 22S,,,,,,,,,,,,,
129,2,reg,196,2554,2568,42M 34S,42M 48S,,,,,,,,,,,,,
130,2,reg,200,2576,2590,42M 56S,43M 10S,,,,,,,,,,,,,
131,2,reg,211,2618,2630,43M 38S,43M 50S,,,,,,,,,,,,,
132,2,reg,235,2780,2790,46M 20S,46M 30S,,,,,,,,,,,,,
133,2,reg,313,4360,4364,1H 12M 40S,1H 12M 44S,,,,,,,,,,,,,
134,3,reg,9,62,74,1M 2S,1M 14S,,,,,,,,,,,,,
135,3,reg,17,304,306,5M 4S,5M 6S,,,,,,,,,,,,,
136,3,reg,19,448,450,7M 28S,7M 30S,,,,,,,,,,,,,
137,3,reg,22,556,558,9M 16S,9M 18S,,,,,,,,,,,,,
138,3,reg,28,616,618,10M 16S,10M 18S,,,,,,,,,,,,,
139,3,reg,30,634,646,10M 34S,10M 46S,,,,,,,,,,,,,
140,3,reg,39,784,792,13M 4S,13M 12S,,,,,,,,,,,,,
141,3,reg,43,826,842,13M 46S,14M 2S,,,,,,,,,,,,,
142,3,reg,48,880,896,14M 40S,14M 56S,,,,,,,,,,,,,
143,3,reg,52,920,932,15M 20S,15M 32S,,,,,,,,,,,,,
144,3,reg,55,968,978,16M 8S,16M 18S,,,,,,,,,,,,,
145,3,reg,58,986,990,16M 26S,16M 30S,,,,,,,,,,,,,
146,3,reg,61,998,1010,16M 38S,16M 50S,,,,,,,,,,,,,
147,3,reg,67,1048,1054,17M 28S,17M 34S,,,,,,,,,,,,,
148,3,reg,74,1110,1118,18M 30S,18M 38S,,,,,,,,,,,,,
149,3,reg,88,1204,1226,20M 4S,20M 26S,,,,,,,,,,,,,
150,3,reg,91,1234,1258,20M 34S,20M 58S,,,,,,,,,,,,,
151,4,reg,76,790,792,13M 10S,13M 12S,,,,,,,,,,,,,
152,4,reg,93,944,946,15M 44S,15M 46S,,,,,,,,,,,,,
153,4,reg,98,998,1004,16M 38S,16M 44S,,,,,,,,,,,,,
154,4,reg,101,1018,1042,16M 58S,17M 22S,,,,,,,,,,,,,
155,4,reg,111,1072,1076,17M 52S,17M 56S,,,,,,,,,,,,,
156,4,reg,113,1094,1134,18M 14S,18M 54S,,,,,,,,,,,,,
157,4,reg,120,1150,1174,19M 10S,19M 34S,,,,,,,,,,,,,
158,4,reg,124,1192,1262,19M 52S,21M 2S,,,,,,,,,,,,,
