,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
130,4,reg,246,2022,2026,33M 42S,33M 46S,,,,
131,4,reg,309,2692,2764,44M 52S,46M 4S,,,,
132,5,reg,100,1770,1774,29M 30S,29M 34S,,,,
133,5,reg,104,1814,1820,30M 14S,30M 20S,,,,
134,5,reg,127,2356,2394,39M 16S,39M 54S,,,,
135,5,reg,129,2396,2422,39M 56S,40M 22S,,,,
136,5,reg,135,2470,2490,41M 10S,41M 30S,,,,
137,6,reg,20,240,242,4M 0S,4M 2S,,,,
138,6,reg,46,652,654,10M 52S,10M 54S,,,,
139,6,reg,126,1516,1518,25M 16S,25M 18S,,,,
140,6,reg,130,1538,1550,25M 38S,25M 50S,,,,
141,6,reg,134,1556,1570,25M 56S,26M 10S,,,,
142,6,reg,156,1868,1876,31M 8S,31M 16S,,,,
143,6,reg,164,1932,1938,32M 12S,32M 18S,,,,
144,6,reg,178,2090,2102,34M 50S,35M 2S,,,,
145,6,reg,182,2128,2146,35M 28S,35M 46S,,,,
146,6,reg,203,2358,2426,39M 18S,40M 26S,,,,
147,6,reg,229,2694,2730,44M 54S,45M 30S,,,,
148,7,reg,7,44,48,44S,48S,,,,
149,7,reg,15,90,100,1M 30S,1M 40S,,,,
150,7,reg,19,108,118,1M 48S,1M 58S,,,,
151,7,reg,23,130,144,2M 10S,2M 24S,,,,
152,7,reg,45,300,306,5M 0S,5M 6S,,,,
153,7,reg,51,322,600,5M 22S,10M 0S,,,,
154,7,reg,59,680,682,11M 20S,11M 22S,,,,
155,7,reg,72,960,972,16M 0S,16M 12S,,,,
156,7,reg,81,1008,1010,16M 48S,16M 50S,,,,
157,8,reg,86,714,722,11M 54S,12M 2S,,,,
158,8,reg,94,740,750,12M 20S,12M 30S,,,,
159,8,reg,100,772,800,12M 52S,13M 20S,,,,
160,8,reg,112,890,898,14M 50S,14M 58S,,,,
161,8,reg,114,904,906,15M 4S,15M 6S,,,,
162,8,reg,144,1118,1174,18M 38S,19M 34S,,,,
163,8,reg,159,1232,1256,20M 32S,20M 56S,,,,
164,8,reg,161,1264,1268,21M 4S,21M 8S,,,,
165,8,reg,183,1396,1400,23M 16S,23M 20S,,,,
166,8,reg,184,1400,1452,23M 20S,24M 12S,,,,
167,8,reg,188,1428,1452,23M 48S,24M 12S,,,,
168,9,reg,111,796,800,13M 16S,13M 20S,,,,
169,9,reg,115,816,818,13M 36S,13M 38S,,,,
170,9,reg,117,858,860,14M 18S,14M 20S,,,,
171,9,reg,118,870,872,14M 30S,14M 32S,,,,
172,9,reg,129,964,966,16M 4S,16M 6S,,,,
173,9,reg,145,1056,1060,17M 36S,17M 40S,,,,
174,9,reg,327,2406,2416,40M 6S,40M 16S,,,,
175,9,reg,363,2744,2762,45M 44S,46M 2S,,,,
176,10,reg,15,104,110,1M 44S,1M 50S,,,,
177,10,reg,102,872,900,14M 32S,15M 0S,,,,
178,10,reg,208,1632,1652,27M 12S,27M 32S,,,,
179,10,reg,236,1908,1912,31M 48S,31M 52S,,,,
180,10,reg,247,1986,2008,33M 6S,33M 28S,,,,
181,12,reg,5,60,62,1M 0S,1M 2S,,,,
182,12,reg,6,62,66,1M 2S,1M 6S,,,,
183,12,reg,10,104,106,1M 44S,1M 46S,,,,
184,12,reg,34,346,360,5M 46S,6M 0S,,,,
185,12,reg,60,664,730,11M 4S,12M 10S,,,,
186,12,reg,106,1170,1202,19M 30S,20M 2S,,,,
187,12,reg,114,1208,1212,20M 8S,20M 12S,,,,
188,12,reg,116,1280,1294,21M 20S,21M 34S,,,,
189,12,reg,122,1356,1358,22M 36S,22M 38S,,,,
190,12,reg,165,1846,1856,30M 46S,30M 56S,,,,
191,12,reg,186,2172,2176,36M 12S,36M 16S,,,,
192,12,reg,193,2202,2206,36M 42S,36M 46S,,,,
193,12,reg,259,2888,2906,48M 8S,48M 26S,,,,
194,12,reg,265,2938,2944,48M 58S,49M 4S,,,,
195,12,reg,266,2946,2964,49M 6S,49M 24S,,,,
196,12,reg,291,3214,3234,53M 34S,53M 54S,,,,
197,12,reg,358,3826,3838,1H 3M 46S,1H 3M 58S,,,,
198,12,reg,364,3852,3854,1H 4M 12S,1H 4M 14S,,,,
199,12,reg,374,3952,3954,1H 5M 52S,1H 5M 54S,,,,
200,13,reg,61,422,424,7M 2S,7M 4S,,,,
201,13,reg,62,426,428,7M 6S,7M 8S,,,,
202,13,reg,136,876,894,14M 36S,14M 54S,,,,
203,13,reg,201,1322,1326,22M 2S,22M 6S,,,,
204,13,reg,215,1414,1454,23M 34S,24M 14S,,,,
205,13,reg,220,1486,1510,24M 46S,25M 10S,,,,
206,13,reg,261,1688,1710,28M 8S,28M 30S,,,,
207,13,reg,269,1760,1774,29M 20S,29M 34S,,,,
208,13,reg,284,1822,1834,30M 22S,30M 34S,,,,
209,13,reg,325,2012,2022,33M 32S,33M 42S,,,,
210,13,reg,330,2028,2032,33M 48S,33M 52S,,,,
211,13,reg,405,2362,2386,39M 22S,39M 46S,,,,
212,14,reg,435,3640,3672,1H 0M 40S,1H 1M 12S,,,,
213,14,reg,472,3852,3854,1H 4M 12S,1H 4M 14S,,,,
214,14,reg,473,3852,3854,1H 4M 12S,1H 4M 14S,,,,
215,14,reg,474,3862,3908,1H 4M 22S,1H 5M 8S,,,,
