,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,,,type,,,,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
69,19,reg,264,1940,1942,32M 20S,32M 22S,,,,,,,,,,,,,,,,,,,
70,20,reg,114,794,806,13M 14S,13M 26S,,,,,,,,,,,,,,,,,,,
71,20,reg,457,3012,3032,50M 12S,50M 32S,,,,,,,,,,,,,,,,,,,
72,20,reg,461,3038,3052,50M 38S,50M 52S,,,,,,,,,,,,,,,,,,,
73,4,new,143,1538,1546,25M 38S,25M 46S,,,,,,,,,,,,,,,,,,,
74,4,new,152,1590,1596,26M 30S,26M 36S,,,,,,,,,,,,,,,,,,,
75,4,new,170,1740,1766,29M 0S,29M 26S,,,,,,,,,,,,,,,,,,,
76,4,new,172,1782,1786,29M 42S,29M 46S,,,,,,,,,,,,,,,,,,,
77,4,new,185,1846,1858,30M 46S,30M 58S,,,,,,,,,,,,,,,,,,,
78,6,new,284,4194,4224,1H 9M 54S,1H 10M 24S,,,,,,,,,,,,,,,,,,,
79,8,new,138,1394,1400,23M 14S,23M 20S,,,,,,,,,,,,,,,,,,,
80,8,new,164,1656,1662,27M 36S,27M 42S,,,,,,,,,,,,,,,,,,,
81,10,new,56,682,694,11M 22S,11M 34S,,,,,,,,,,,,,,,,,,,
82,10,new,236,2466,2472,41M 6S,41M 12S,,,,,,,,,,,,,,,,,,,
83,10,new,350,3440,3456,57M 20S,57M 36S,,,,,,,,,,,,,,,,,,,
84,10,new,471,4258,4272,1H 10M 58S,1H 11M 12S,,,,,,,,,,,,,,,,,,,
85,11,new,325,3002,3008,50M 2S,50M 8S,,,,,,,,,,,,,,,,,,,
86,11,new,429,3904,3908,1H 5M 4S,1H 5M 8S,,,,,,,,,,,,,,,,,,,
87,11,new,481,4380,4386,1H 13M 0S,1H 13M 6S,,,,,,,,,,,,,,,,,,,
88,13,new,183,762,764,12M 42S,12M 44S,,,,,,,,,,,,,,,,,,,
89,13,new,251,1002,1006,16M 42S,16M 46S,,,,,,,,,,,,,,,,,,,
90,13,new,283,1090,1102,18M 10S,18M 22S,,,,,,,,,,,,,,,,,,,
91,13,new,776,2876,2882,47M 56S,48M 2S,,,,,,,,,,,,,,,,,,,
92,13,new,778,2880,2884,48M 0S,48M 4S,,,,,,,,,,,,,,,,,,,
93,13,new,779,2884,2888,48M 4S,48M 8S,,,,,,,,,,,,,,,,,,,
94,16,new,130,2506,2520,41M 46S,42M 0S,,,,,,,,,,,,,,,,,,,
95,16,new,186,2984,2986,49M 44S,49M 46S,,,,,,,,,,,,,,,,,,,
96,16,new,195,3008,3010,50M 8S,50M 10S,,,,,,,,,,,,,,,,,,,
97,17,new,13,144,156,2M 24S,2M 36S,,,,,,,,,,,,,,,,,,,
98,17,new,270,3530,3540,58M 50S,59M 0S,,,,,,,,,,,,,,,,,,,
99,17,new,458,4888,4896,1H 21M 28S,1H 21M 36S,,,,,,,,,,,,,,,,,,,
100,18,new,9,128,130,2M 8S,2M 10S,,,,,,,,,,,,,,,,,,,
101,18,new,18,144,162,2M 24S,2M 42S,,,,,,,,,,,,,,,,,,,
102,18,new,38,272,276,4M 32S,4M 36S,,,,,,,,,,,,,,,,,,,
103,18,new,39,274,276,4M 34S,4M 36S,,,,,,,,,,,,,,,,,,,
104,18,new,57,364,366,6M 4S,6M 6S,,,,,,,,,,,,,,,,,,,
105,18,new,169,1030,1052,17M 10S,17M 32S,,,,,,,,,,,,,,,,,,,
106,18,new,180,1058,1062,17M 38S,17M 42S,,,,,,,,,,,,,,,,,,,
107,18,new,344,1826,1834,30M 26S,30M 34S,,,,,,,,,,,,,,,,,,,
108,18,new,459,2332,2336,38M 52S,38M 56S,,,,,,,,,,,,,,,,,,,
109,19,new,142,1212,1218,20M 12S,20M 18S,,,,,,,,,,,,,,,,,,,
